BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod
4853,Euro Lager,Irish Lager,22,1.044,1.007,4.95,52.07,5.38,28.5,60,1.034,72,All Grain
45579,Vienna Lager,Irish Lager,22,1.047,1.011,4.73,20.92,13.26,28.5,60,1.037,70,All Grain
21757,Ale brown/ruby,Irish Red Ale,22,1.053,1.013,5.22,27.07,14.32,28.5,60,1.041,70,All Grain
66306,R¯dstrupe,Irish Red Ale,22,1.049,1.006,5.61,25.71,15.99,28.5,60,1.038,70,BIAB
3310,Belgian Blonde,Irish Pale Ale,22,1.066,1.017,6.38,22.85,4.5,28.5,60,1.051,70,All Grain
47985,Spring Saison,Irish Pale Ale,22,1.038,1.009,3.88,19.47,3.17,28.5,60,1.03,68,All Grain
48448,Irish Cream Ale BR,Irish Cream Ale,22,1.049,1.009,5.25,10.14,4.87,28.5,60,1.038,65,All Grain
34640,Belgian Pale Ale 2017,Irish Pale Ale,22,1.054,1.016,5,24.02,11.5,29,60,1.041,75,All Grain
63002,FOT Red Ale,Irish Red Ale,22,1.06,1.015,5.93,24.32,17.14,29,60,1.046,75,All Grain
56335,AG 12 Lunar Thorn,Irish Red Ale,22,1.05,1.012,4.92,30.55,14.53,29,70,1.038,67,All Grain
67339,Sweet stout,Irish Extra Stout,22,1.0516,1.0184,4.47,42.94,38.19,30,60,1.0384,78,All Grain
32827,Belgian pale ale (-ish),Irish Pale Ale,22,1.059,1.017,5.5,17.15,20.74,30,60,1.043,75,All Grain
19055,Viennese Kiwi Lager,Irish Lager,22,1.047,1.006,5.34,27.05,11.66,30,90,1.035,75,All Grain
51846,Witbier,Irish Pale Ale,22,1.048,1.0117,4.85,12.69,3.38,30,60,1.0356,73,All Grain
7882,PopsIRA,Irish Red Ale,22,1.045,1.011,4.44,26.62,13.59,30,60,1.033,66,BIAB
11186,Goosey Gander,Irish Red Ale,22,1.047,1.015,4.21,33.96,15.7,30,60,1.034,65,BIAB
52989,Mayday morning,Irish Cream Ale,22,1.054,1.01,5.76,21.54,6.1,31,60,1.038,62,BIAB
61820,First Brew Back Red Ale,Irish Red Ale,22,1.066,1.012,7.04,27.68,20.69,32,60,1.045,70,All Grain
60491,Vienna Lager Cascade,Irish Lager,22,1.05,1.01,5.2,35.14,10.72,32.69,60,1.033,70,All Grain
16880,Newport Viennese lager,Irish Lager,22,1.05,1.013,4.92,20.87,11.43,34.5,60,1.032,70,All Grain
17202,Irish Red Ale #9,Irish Red Ale,22.2,1.049,1.015,4.52,32.21,12.05,30.5,65,1.036,78,All Grain
35329,Awesome Recipe,Irish Cream Ale,22.5,1.058,1.014,5.71,20.23,8.87,26,60,1.05,75,All Grain
67938,Nidarhall Wahnsinnig,Irish Lager,22.5,1.051,1.013,4.97,22.1,8.64,28,90,1.041,75,All Grain
35787,Turdus Guinness,Irish Extra Stout,22.5,1.059,1.015,5.85,36.92,35.99,30.6,60,1.044,70,All Grain
59310,Oatmeal Stout,Irish Dry Stout,22.71,1.038,1.008,3.99,36.32,22.77,11.36,60,1.054,75,Partial Mash
67407,Cream of Canuck Ale,Irish Cream Ale,22.71,1.053,1.012,5.32,24.36,4.21,13.25,90,1.091,77,All Grain
46683,Willow Leaf Pale Ale (Mandarin),Irish Cream Ale,22.71,1.048,1.009,5.15,24.67,3.39,17.03,60,1.065,65,All Grain
12933,Irish Cream Ale,Irish Cream Ale,22.71,1.042,1.011,4.18,32.32,5.34,22.71,60,1.042,75,All Grain
43646,Want a Wein,Irish Lager,22.71,1.053,1.013,5.23,40.52,5.54,24.61,60,1.049,76,BIAB
7153,Irish Red Ale,Irish Red Ale,22.71,1.057,1.014,5.58,0,15.79,24.61,60,1.042,75,All Grain
69800,Vienna Alt,Irish Lager,22.71,1.06,1.015,6.13,22.96,9.56,24.98,90,1.055,70,All Grain
72309,Ono-Irish Red Ale,Irish Red Ale,22.71,1.0498,1.0122,5.03,28.85,12.68,26.12,60,1.0436,75,All Grain
33590,DeKoninck Clone,Irish Pale Ale,22.71,1.049,1.012,4.78,27.26,8.89,26.5,60,1.042,82,All Grain
2295,Ode to Sleep - Coffee Irish Cream Ale,Irish Cream Ale,22.71,1.063,1.011,6.75,54.68,7.44,26.5,60,1.054,81,All Grain
44198,Yoopy Irish Cream Ale,Irish Cream Ale,22.71,1.058,1.012,6.03,22.43,3.46,26.5,60,1.049,80,All Grain
1271,Summer Daze,Irish Cream Ale,22.71,1.044,1.009,4.56,17.31,4.23,26.5,60,1.038,75,BIAB
27860,El Squid Roe,Irish Lager,22.71,1.049,1.01,5.04,24.38,9.1,26.5,60,1.042,75,All Grain
63396,Irish Cream Ale IV,Irish Cream Ale,22.71,1.051,1.011,5.25,19.22,3.02,26.5,60,1.043,75,All Grain
54352,Belgian Single 2.0,Irish Pale Ale,22.71,1.049,1.009,5.27,22.8,4.12,26.5,60,1.042,75,All Grain
69384,Irish Cream Ale V,Irish Cream Ale,22.71,1.052,1.009,5.67,19.22,3.56,26.5,60,1.044,75,All Grain
44201,JB's Blue Moon,Irish Cream Ale,22.71,1.056,1.011,5.94,18.77,4.13,26.5,60,1.048,75,All Grain
2105,Vienna Lager 1,Irish Lager,22.71,1.057,1.016,5.34,25.25,10.04,26.5,90,1.042,75,All Grain
6682,Irish Cream Ale,Irish Cream Ale,22.71,1.053,1.01,5.63,18.29,3.44,26.5,60,1.045,74,All Grain
62793,Irish red ale,Irish Red Ale,22.71,1.063,1.017,6.08,43.46,13.92,26.5,60,1.054,73,All Grain
11987,Meelin Irish Stout,Irish Dry Stout,22.71,1.049,1.012,4.92,38.47,31.86,26.5,60,1.039,72,BIAB
2323,...Because I'm... German,Irish Lager,22.71,1.051,1.014,4.8,26.61,11.98,26.5,90,1.042,71,All Grain
19700,Poppamacorn Irish Cream Ale,Irish Cream Ale,22.71,1.044,1.009,4.54,31.66,4.15,26.5,60,1.038,70,All Grain
56327,Irish Cream Ale III,Irish Cream Ale,22.71,1.05,1.008,5.48,20.01,3.23,26.5,60,1.043,70,All Grain
62363,Irish Cream Ale III,Irish Cream Ale,22.71,1.05,1.008,5.48,20.01,3.23,26.5,60,1.043,70,All Grain
2437,Dreamsicle Irish Cream Ale,Irish Cream Ale,22.71,1.062,1.019,5.58,12.5,4.62,26.5,60,1.047,70,All Grain
9582,Irish Glow,Irish Red Ale,22.71,1.06,1.017,5.66,25.75,18.6,26.5,60,1.052,70,All Grain
70938,Cow Town,Irish Cream Ale,22.71,1.053,1.009,5.73,18.1,4,26.5,60,1.045,70,All Grain
2210,Honey lemongrass lemonthyme rye ginger,Irish Red Ale,22.71,1.063,1.019,5.78,9.67,10.14,26.5,60,1.042,70,All Grain
43524,Mackenna's Not Irish Red - AG,Irish Red Ale,22.71,1.057,1.015,5.79,21.49,14.35,26.5,60,1.049,70,All Grain
28501,DBL (Double Batch Lite),Irish Cream Ale,22.71,1.077,1.02,7.46,31.64,4.42,26.5,60,1.066,70,All Grain
23175,Lime Irish Cream Ale,Irish Cream Ale,22.71,1.044,1.009,4.58,35.15,3.12,26.5,90,1.038,70,All Grain
